Nr	Name	No_of_Customers	No_of_Items	Time_Windows
320	0320_BED-Amazon_n89_m229_bt34	89	229	0
321	0321_BED-Amazon_n142_m249_bt38	142	249	0
322	0322_BED-Amazon_n144_m189_bt18	144	189	0
323	0323_BED-Amazon_n153_m259_bt42	153	259	0
324	0324_BED-Amazon_n195_m253_bt37	195	253	0
325	0325_BED-Amazon_n178_m266_bt33	178	266	0
326	0326_BED-Amazon_n133_m225_bt31	133	225	0
327	0327_BED-Amazon_n139_m269_bt35	139	269	0
328	0328_BED-Amazon_n126_m254_bt29	126	254	0
329	0329_BED-Amazon_n76_m222_bt29	76	222	0
330	0330_BED-Amazon_n91_m209_bt31	91	209	0
331	0331_BED-Amazon_n100_m186_bt27	100	186	0
332	0332_BED-Amazon_n150_m239_bt34	150	239	0
333	0333_BED-Amazon_n171_m259_bt28	171	259	0
334	0334_BED-Amazon_n183_m260_bt38	183	260	0
335	0335_BED-Amazon_n131_m186_bt26	131	186	0
336	0336_BED-Amazon_n118_m233_bt34	118	233	0
337	0337_BED-Amazon_n152_m211_bt32	152	211	0
338	0338_BED-Amazon_n148_m232_bt41	148	232	0
339	0339_BED-Amazon_n127_m263_bt38	127	263	0
340	0340_BED-Amazon_n99_m272_bt43	99	272	0
341	0341_BED-Amazon_n189_m264_bt31	189	264	0
342	0342_BED-Amazon_n125_m186_bt24	125	186	0
343	0343_BED-Amazon_n142_m270_bt36	142	270	0
344	0344_BED-Amazon_n95_m255_bt34	95	255	0
345	0345_BED-Amazon_n98_m183_bt30	98	183	0
346	0346_BED-Amazon_n124_m261_bt41	124	261	0
347	0347_BED-Amazon_n121_m299_bt35	121	299	0
348	0348_BED-Amazon_n161_m259_bt40	161	259	0
349	0349_BED-Amazon_n164_m256_bt33	164	256	0
350	0350_BED-Amazon_n177_m271_bt37	177	271	0
351	0351_BED-Amazon_n97_m193_bt35	97	193	0
352	0352_BED-Amazon_n170_m227_bt30	170	227	0
353	0353_BED-Amazon_n129_m253_bt39	129	253	0
354	0354_BED-Amazon_n154_m243_bt32	154	243	0
355	0355_BED-Amazon_n181_m276_bt33	181	276	0
356	0356_BED-Amazon_n130_m231_bt34	130	231	0
357	0357_BED-Amazon_n186_m266_bt34	186	266	0
358	0358_BED-Amazon_n134_m196_bt38	134	196	0
359	0359_BED-Amazon_n205_m268_bt31	205	268	0
360	0360_BED-Amazon_n138_m254_bt35	138	254	0
361	0361_BED-Amazon_n174_m291_bt28	174	291	0
362	0362_BED-Amazon_n66_m187_bt31	66	187	0
363	0363_BED-Amazon_n170_m281_bt31	170	281	0
364	0364_BED-Amazon_n156_m226_bt49	156	226	0
365	0365_BED-Amazon_n92_m220_bt27	92	220	0
366	0366_BED-Amazon_n171_m244_bt31	171	244	0
367	0367_BED-Amazon_n161_m218_bt37	161	218	0
368	0368_BED-Amazon_n144_m239_bt31	144	239	0
369	0369_BED-Amazon_n151_m248_bt34	151	248	0
370	0370_BED-Amazon_n154_m255_bt41	154	255	0
371	0371_BED-Amazon_n60_m197_bt40	60	197	0
372	0372_BED-Amazon_n169_m233_bt36	169	233	0
373	0373_BED-Amazon_n166_m246_bt35	166	246	0
374	0374_BED-Amazon_n148_m236_bt38	148	236	0
375	0375_BED-Amazon_n164_m256_bt33	164	256	0
376	0376_BED-Amazon_n154_m264_bt33	154	264	0
377	0377_BED-Amazon_n154_m248_bt35	154	248	0
378	0378_BED-Amazon_n179_m267_bt37	179	267	0
379	0379_BED-Amazon_n151_m241_bt34	151	241	0
380	0380_BED-Amazon_n142_m279_bt34	142	279	0
381	0381_BED-Amazon_n119_m224_bt33	119	224	0
382	0382_BED-Amazon_n83_m225_bt43	83	225	0
383	0383_BED-Amazon_n82_m239_bt34	82	239	0
384	0384_BED-Amazon_n125_m255_bt29	125	255	0
385	0385_BED-Amazon_n151_m270_bt32	151	270	0
386	0386_BED-Amazon_n82_m249_bt33	82	249	0
387	0387_BED-Amazon_n135_m237_bt31	135	237	0
388	0388_BED-Amazon_n155_m268_bt29	155	268	0
389	0389_BED-Amazon_n59_m209_bt37	59	209	0
390	0390_BED-Amazon_n159_m245_bt29	159	245	0
391	0391_BED-Amazon_n52_m205_bt29	52	205	0
392	0392_BED-Amazon_n149_m242_bt35	149	242	0
393	0393_BED-Amazon_n158_m208_bt22	158	208	0
394	0394_BED-Amazon_n188_m243_bt30	188	243	0
395	0395_BED-Amazon_n135_m241_bt26	135	241	0
396	0396_BED-Amazon_n117_m269_bt35	117	269	0
397	0397_BED-Amazon_n162_m264_bt33	162	264	0
398	0398_BED-Amazon_n121_m216_bt32	121	216	0
399	0399_BED-Amazon_n165_m292_bt32	165	292	0
400	0400_BED-Amazon_n98_m202_bt37	98	202	0
401	0401_BED-Amazon_n80_m227_bt27	80	227	0
402	0402_BED-Amazon_n162_m273_bt35	162	273	0
403	0403_BED-Amazon_n131_m253_bt32	131	253	0
404	0404_BED-Amazon_n184_m286_bt34	184	286	0
405	0405_BED-Amazon_n155_m262_bt33	155	262	0
406	0406_BED-Amazon_n146_m240_bt26	146	240	0
407	0407_BED-Amazon_n117_m197_bt30	117	197	0
408	0408_BED-Amazon_n113_m256_bt33	113	256	0
409	0409_BED-Amazon_n135_m204_bt29	135	204	0
410	0410_BED-Amazon_n142_m268_bt32	142	268	0
411	0411_BED-Amazon_n178_m250_bt33	178	250	0
412	0412_BED-Amazon_n165_m256_bt25	165	256	0
413	0413_BED-Amazon_n124_m197_bt31	124	197	0
414	0414_BED-Amazon_n141_m259_bt35	141	259	0
415	0415_BED-Amazon_n132_m215_bt24	132	215	0
416	0416_BED-Amazon_n70_m169_bt28	70	169	0
417	0417_BED-Amazon_n164_m249_bt28	164	249	0
418	0418_BED-Amazon_n143_m253_bt38	143	253	0
419	0419_BED-Amazon_n75_m180_bt30	75	180	0
420	0420_BED-Amazon_n142_m235_bt36	142	235	0
421	0421_BED-Amazon_n178_m250_bt38	178	250	0
422	0422_BED-Amazon_n161_m247_bt38	161	247	0
423	0423_BED-Amazon_n153_m226_bt23	153	226	0
424	0424_BED-Amazon_n133_m247_bt37	133	247	0
425	0425_BED-Amazon_n163_m225_bt25	163	225	0
426	0426_BED-Amazon_n144_m235_bt35	144	235	0
427	0427_BED-Amazon_n179_m235_bt29	179	235	0
428	0428_BED-Amazon_n62_m173_bt27	62	173	0
429	0429_BED-Amazon_n95_m205_bt32	95	205	0
430	0430_BED-Amazon_n93_m244_bt36	93	244	0
431	0431_BED-Amazon_n168_m246_bt37	168	246	0
432	0432_BED-Amazon_n72_m202_bt28	72	202	0
433	0433_BED-Amazon_n70_m153_bt26	70	153	0
434	0434_BED-Amazon_n172_m251_bt31	172	251	0
435	0435_BED-Amazon_n167_m237_bt31	167	237	0
436	0436_BED-Amazon_n127_m215_bt27	127	215	0
437	0437_BED-Amazon_n195_m272_bt33	195	272	0
438	0438_BED-Amazon_n167_m240_bt31	167	240	0
439	0439_BED-Amazon_n111_m231_bt38	111	231	0
440	0440_BED-Amazon_n152_m272_bt29	152	272	0
441	0441_BED-Amazon_n178_m264_bt32	178	264	0
442	0442_BED-Amazon_n123_m164_bt26	123	164	0
443	0443_BED-Amazon_n153_m234_bt30	153	234	0
444	0444_BED-Amazon_n151_m240_bt29	151	240	0
445	0445_BED-Amazon_n119_m246_bt39	119	246	0
446	0446_BED-Amazon_n68_m173_bt29	68	173	0
447	0447_BED-Amazon_n149_m275_bt37	149	275	0
448	0448_BED-Amazon_n161_m253_bt28	161	253	0
449	0449_BED-Amazon_n159_m234_bt28	159	234	0
450	0450_BED-Amazon_n157_m238_bt29	157	238	0
451	0451_BED-Amazon_n127_m273_bt28	127	273	0
452	0452_BED-Amazon_n91_m237_bt29	91	237	0
453	0453_BED-Amazon_n129_m193_bt33	129	193	0
454	0454_BED-Amazon_n69_m217_bt28	69	217	0
455	0455_BED-Amazon_n86_m225_bt32	86	225	0
456	0456_BED-Amazon_n144_m252_bt31	144	252	0
457	0457_BED-Amazon_n172_m275_bt33	172	275	0
458	0458_BED-Amazon_n99_m221_bt41	99	221	0
459	0459_BED-Amazon_n123_m200_bt24	123	200	0
460	0460_BED-Amazon_n175_m246_bt24	175	246	0
461	0461_BED-Amazon_n117_m208_bt36	117	208	0
462	0462_BED-Amazon_n199_m282_bt31	199	282	0
463	0463_BED-Amazon_n110_m208_bt36	110	208	0
464	0464_BED-Amazon_n154_m228_bt32	154	228	0
465	0465_BED-Amazon_n164_m253_bt28	164	253	0
466	0466_BED-Amazon_n98_m284_bt34	98	284	0
467	0467_BED-Amazon_n151_m234_bt34	151	234	0
468	0468_BED-Amazon_n135_m182_bt25	135	182	0
469	0469_BED-Amazon_n127_m178_bt33	127	178	0
470	0470_BED-Amazon_n185_m260_bt35	185	260	0
471	0471_BED-Amazon_n119_m204_bt39	119	204	0
472	0472_BED-Amazon_n108_m238_bt28	108	238	0
473	0473_BED-Amazon_n143_m264_bt34	143	264	0
474	0474_BED-Amazon_n135_m216_bt31	135	216	0
475	0475_BED-Amazon_n166_m234_bt25	166	234	0
476	0476_BED-Amazon_n140_m262_bt36	140	262	0
477	0477_BED-Amazon_n139_m250_bt32	139	250	0
478	0478_BED-Amazon_n168_m223_bt24	168	223	0
479	0479_BED-Amazon_n150_m267_bt35	150	267	0
480	0480_BED-Amazon_n155_m273_bt32	155	273	0
